DOI,Link
10.1007/s00204-015-1577-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942198558&partnerID=40&md5=2abc33f4ee88afbb88bcc72a8698a501"
10.1016/j.tetlet.2015.08.083,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941995024&partnerID=40&md5=25ac5bb30e7eacba155cac511ba3dd03"
10.3390/ijms161024174,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944462902&partnerID=40&md5=fda1388c0910dba746e3c90dba4cdeb3"
10.1038/srep14917,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943811135&partnerID=40&md5=e5918369b57336afa8290ff115ab2be4"
10.1186/s12864-015-1969-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943538344&partnerID=40&md5=c320532d9141dc56252506ea47154a52"
10.1073/pnas.1516645112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943372486&partnerID=40&md5=baff3df38bbc9b79749d4d966bb5c918"
10.1016/j.saa.2015.04.064,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929649968&partnerID=40&md5=cc970b5f679f19836ca289135e62f392"
10.1186/s12948-015-0027-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942770527&partnerID=40&md5=76603f07a8c3516f7e4faf422b4b9a68"
10.1002/adfm.201502837,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943582722&partnerID=40&md5=55e35cfba247fc29a28d1c11f3857abd"
10.1016/j.apcatb.2015.03.058,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928159291&partnerID=40&md5=1dc3e44490e15d690b00291305bdf71a"
10.1007/s11051-015-3213-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944459435&partnerID=40&md5=92aa6eab80bd4c402b810c2c42a9336b"
10.1007/s00204-015-1518-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940578935&partnerID=40&md5=3e28a825b97880b917002396ba9bbc67"
10.1016/j.envres.2015.06.039,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936859292&partnerID=40&md5=3698b78ef272854a959d591831dbc399"
10.1016/j.envres.2015.06.013,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934918684&partnerID=40&md5=dd17b31ccee272eabf8485a6f876ed5a"
10.1016/j.envres.2015.06.032,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937900317&partnerID=40&md5=838c411042afd127348a473c532f8d2b"
10.1016/j.yrtph.2015.06.015,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937579829&partnerID=40&md5=1a830a5483b5bc49e1277ae0b74fe19c"
10.1002/chem.201502433,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943587409&partnerID=40&md5=1f87174ea678de3a66ece182384fc469"
10.1016/j.envpol.2015.05.017,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930196527&partnerID=40&md5=26641265d059ca38173a7403c16e8c9a"
10.1016/j.envint.2015.05.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84933530113&partnerID=40&md5=a1ca46d9b39be54d404e2d00add4795c"
10.1016/j.yrtph.2015.07.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938073440&partnerID=40&md5=4ce0a2f71cd7fae18bf3611d312b2f61"
10.1016/j.envres.2015.06.020,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934925303&partnerID=40&md5=1ca83c7b838e2af383c9ec3fd5a59380"
10.1038/srep14566,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942465798&partnerID=40&md5=cfe8f1d38ffc6cf19c6f689d0bc74ba9"
10.1007/s00280-015-2786-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939565662&partnerID=40&md5=ea6526d6ea38d75bf5e4c6904dc5c412"
10.1186/s13321-015-0094-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941650396&partnerID=40&md5=6d34335c8511b1beca637b1ec239d4b7"
10.1021/acs.est.5b01866,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937860679&partnerID=40&md5=1291b21024eec00828828055a62292a8"
10.1021/acs.chemrestox.5b00260,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944729372&partnerID=40&md5=0d06071f15c9adba3765ee217c7f815c"
10.1038/nbt.3299,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941076570&partnerID=40&md5=88672c2f0cef00da9c84bded8040856c"
10.1039/c5ra14452c,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941651361&partnerID=40&md5=0594432509e60106d4ac57a3e4e9cf87"
10.1021/acs.est.5b02349,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943303176&partnerID=40&md5=214f2aa837fb408e9fb8d9d78ae9dbbe"
10.1016/j.scitotenv.2015.04.103,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929456352&partnerID=40&md5=281cf3d87ed9f4f8b948793444f21ca7"
10.1016/j.watres.2015.05.049,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930640917&partnerID=40&md5=5c61983c178691edcf334229901a405d"
10.1016/j.apcata.2015.03.024,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942371229&partnerID=40&md5=ddc9b6d71237ef6a742e3b7d8c26e5dd"
10.1016/j.cej.2015.04.059,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928721594&partnerID=40&md5=ba5753bc9b1ced958f8699ee485672b1"
